0	1	4.0
0	7	8.0
1	2	8.0
1	7	11.0
2	3	7.0
2	5	4.0
2	8	2.0
3	4	9.0
3	5	14.0
4	5	10.0
5	6	2.0
6	7	1.0
6	8	6.0
7	8	7.0
8	9	5.0
9	10	3.0
9	11	6.0
10	11	9.0
11	12	4.0
12	13	2.0
13	14	7.0
14	15	5.0
15	16	3.0
16	17	8.0
17	18	10.0
18	19	12.0
19	20	15.0
20	21	11.0
21	22	9.0
22	23	6.0
23	24	4.0
24	25	7.0
25	26	5.0
26	27	3.0
27	28	8.0
28	29	10.0
29	30	12.0
30	31	15.0
31	32	11.0
32	33	9.0
33	34	6.0
34	35	4.0
35	36	7.0
36	37	5.0
37	38	3.0
38	39	8.0
39	40	10.0
40	41	12.0
41	42	15.0
42	43	11.0
43	44	9.0
44	45	6.0
45	46	4.0
46	47	7.0
47	48	5.0
48	49	3.0
